Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Followers gained,Views gained,Partnered,Mature,Language
1.0,0.40886713772732536,0.34783425343453145,0.18642814501248237,0.362904288109456,0.4395910199565728,0.13860633926330362,1.0,0.0,0.15
0.9827979939113617,0.40229352484651915,0.4860106530344557,0.1721412677737979,0.5938845759427024,0.3480292906330191,0.1336347555120161,1.0,0.0,0.15
0.909191034053533,0.988097996061624,0.605465197635233,0.0728657874742212,0.19741768634607923,0.2610430613286754,0.1528980086863465,1.0,1.0,0.7
0.6335437920994295,0.9928472141781536,0.4696961396445962,0.05073673070661022,0.44108369520560325,0.18073940743244413,0.1587719782693269,1.0,0.0,0.15
0.5842649638854753,0.23204563882775397,0.44632551703843765,0.1992225659394334,1.0,0.5233652839052436,0.1176526836397349,1.0,0.0,0.15
0.5839025986781065,0.15211977296420712,0.4120091597939516,0.28613779442092696,0.17456469846427233,0.1431266929613738,0.09185597846659188,1.0,0.0,0.15
0.5331740083489727,0.25639986099849416,0.18021722423181855,0.16244708563985671,0.4555698149451559,0.2776277108412557,0.06852394530696797,1.0,0.0,0.15
0.5234920835699373,0.27881385381674967,0.10690443730346436,0.12719798111364378,0.056535227973094855,0.11080037475858782,1.0,1.0,0.0,0.15
0.46199842906670135,0.2297868643576972,0.1391358927120785,0.15023607945294692,0.39474102718862825,0.2429507392341656,0.07638367001722605,1.0,0.0,0.15
0.45163831263607557,0.17262249507703,0.19551746105287543,0.08237002062303267,0.2913648795001994,0.38883614155348034,0.053995431022809424,1.0,0.0,0.15
0.44653573053362194,0.2033186609521603,0.2215928211758408,0.17250759795940518,0.5889038496211015,0.3164286842493164,0.07454753536977991,1.0,1.0,0.15
0.4462876711469497,0.2413703231785011,0.13879623528085913,0.14588082057961577,0.29800219199410694,0.05395102374333205,0.07512180695208634,1.0,0.0,0.15
0.420228339496437,0.14933974284721419,1.0,0.14059616845761425,0.5018138846363775,0.12893312578142715,0.08460170323751015,1.0,0.0,0.15
0.40606723965939306,0.10581489632804356,0.3750318917979774,0.2897603929230435,0.6432610730340518,0.9633394997912009,0.08720447119250507,1.0,0.0,0.85
